Instagram採用 月次KPI（B〜K列に数字を入れるだけ。L列以降は自動計算）
月,投稿数,インプレッション,リーチ数,プロフアクセス数,リンクタップ数,LINE登録,面接,採用数(LINE経由),その他問い合わせ,採用数(その他経由),採用数 合計,1投稿あたりインプ,リーチ率(リーチ÷インプ),プロフアクセス率(プロフ÷リーチ),リンクタップ率(タップ÷プロフ),LINE登録率(登録÷タップ),面接率(面接÷LINE登録),採用率(採用÷面接),LINE→採用率(採用÷LINE登録),その他採用率(採用÷その他問合せ),リーチ→採用率(採用合計÷リーチ),1採用あたり投稿数
6月,,,,,,,,,,,"=IFERROR(IF(COUNT(I13:K13)=0,"""",SUM(I13,K13)),"""")","=IFERROR(ROUND(C13/B13),"""")","=IFERROR(TEXT(D13/C13,""0.0%""),"""")","=IFERROR(TEXT(E13/D13,""0.0%""),"""")","=IFERROR(TEXT(F13/E13,""0.0%""),"""")","=IFERROR(TEXT(G13/F13,""0.0%""),"""")","=IFERROR(TEXT(H13/G13,""0.0%""),"""")","=IFERROR(TEXT(I13/H13,""0.0%""),"""")","=IFERROR(TEXT(I13/G13,""0.0%""),"""")","=IFERROR(TEXT(K13/J13,""0.0%""),"""")","=IFERROR(TEXT(L13/D13,""0.00%""),"""")","=IFERROR(TEXT(B13/L13,""0.0""),"""")"
7月,,,,,,,,,,,"=IFERROR(IF(COUNT(I14:K14)=0,"""",SUM(I14,K14)),"""")","=IFERROR(ROUND(C14/B14),"""")","=IFERROR(TEXT(D14/C14,""0.0%""),"""")","=IFERROR(TEXT(E14/D14,""0.0%""),"""")","=IFERROR(TEXT(F14/E14,""0.0%""),"""")","=IFERROR(TEXT(G14/F14,""0.0%""),"""")","=IFERROR(TEXT(H14/G14,""0.0%""),"""")","=IFERROR(TEXT(I14/H14,""0.0%""),"""")","=IFERROR(TEXT(I14/G14,""0.0%""),"""")","=IFERROR(TEXT(K14/J14,""0.0%""),"""")","=IFERROR(TEXT(L14/D14,""0.00%""),"""")","=IFERROR(TEXT(B14/L14,""0.0""),"""")"
8月,,,,,,,,,,,"=IFERROR(IF(COUNT(I15:K15)=0,"""",SUM(I15,K15)),"""")","=IFERROR(ROUND(C15/B15),"""")","=IFERROR(TEXT(D15/C15,""0.0%""),"""")","=IFERROR(TEXT(E15/D15,""0.0%""),"""")","=IFERROR(TEXT(F15/E15,""0.0%""),"""")","=IFERROR(TEXT(G15/F15,""0.0%""),"""")","=IFERROR(TEXT(H15/G15,""0.0%""),"""")","=IFERROR(TEXT(I15/H15,""0.0%""),"""")","=IFERROR(TEXT(I15/G15,""0.0%""),"""")","=IFERROR(TEXT(K15/J15,""0.0%""),"""")","=IFERROR(TEXT(L15/D15,""0.00%""),"""")","=IFERROR(TEXT(B15/L15,""0.0""),"""")"
合計,"=IFERROR(IF(COUNT(B3:B15)=0,"""",SUM(B3:B15)),"""")","=IFERROR(IF(COUNT(C3:C15)=0,"""",SUM(C3:C15)),"""")","=IFERROR(IF(COUNT(D3:D15)=0,"""",SUM(D3:D15)),"""")","=IFERROR(IF(COUNT(E3:E15)=0,"""",SUM(E3:E15)),"""")","=IFERROR(IF(COUNT(F3:F15)=0,"""",SUM(F3:F15)),"""")","=IFERROR(IF(COUNT(G3:G15)=0,"""",SUM(G3:G15)),"""")","=IFERROR(IF(COUNT(H3:H15)=0,"""",SUM(H3:H15)),"""")","=IFERROR(IF(COUNT(I3:I15)=0,"""",SUM(I3:I15)),"""")","=IFERROR(IF(COUNT(J3:J15)=0,"""",SUM(J3:J15)),"""")","=IFERROR(IF(COUNT(K3:K15)=0,"""",SUM(K3:K15)),"""")","=IFERROR(IF(COUNT(I16:K16)=0,"""",SUM(I16,K16)),"""")","=IFERROR(ROUND(C16/B16),"""")","=IFERROR(TEXT(D16/C16,""0.0%""),"""")","=IFERROR(TEXT(E16/D16,""0.0%""),"""")","=IFERROR(TEXT(F16/E16,""0.0%""),"""")","=IFERROR(TEXT(G16/F16,""0.0%""),"""")","=IFERROR(TEXT(H16/G16,""0.0%""),"""")","=IFERROR(TEXT(I16/H16,""0.0%""),"""")","=IFERROR(TEXT(I16/G16,""0.0%""),"""")","=IFERROR(TEXT(K16/J16,""0.0%""),"""")","=IFERROR(TEXT(L16/D16,""0.00%""),"""")","=IFERROR(TEXT(B16/L16,""0.0""),"""")"
平均,"=IFERROR(IF(COUNT(B3:B15)=0,"""",AVERAGE(B3:B15)),"""")","=IFERROR(IF(COUNT(C3:C15)=0,"""",AVERAGE(C3:C15)),"""")","=IFERROR(IF(COUNT(D3:D15)=0,"""",AVERAGE(D3:D15)),"""")","=IFERROR(IF(COUNT(E3:E15)=0,"""",AVERAGE(E3:E15)),"""")","=IFERROR(IF(COUNT(F3:F15)=0,"""",AVERAGE(F3:F15)),"""")","=IFERROR(IF(COUNT(G3:G15)=0,"""",AVERAGE(G3:G15)),"""")","=IFERROR(IF(COUNT(H3:H15)=0,"""",AVERAGE(H3:H15)),"""")","=IFERROR(IF(COUNT(I3:I15)=0,"""",AVERAGE(I3:I15)),"""")","=IFERROR(IF(COUNT(J3:J15)=0,"""",AVERAGE(J3:J15)),"""")","=IFERROR(IF(COUNT(K3:K15)=0,"""",AVERAGE(K3:K15)),"""")","=IFERROR(IF(COUNT(I17:K17)=0,"""",SUM(I17,K17)),"""")","=IFERROR(ROUND(C17/B17),"""")","=IFERROR(TEXT(D17/C17,""0.0%""),"""")","=IFERROR(TEXT(E17/D17,""0.0%""),"""")","=IFERROR(TEXT(F17/E17,""0.0%""),"""")","=IFERROR(TEXT(G17/F17,""0.0%""),"""")","=IFERROR(TEXT(H17/G17,""0.0%""),"""")","=IFERROR(TEXT(I17/H17,""0.0%""),"""")","=IFERROR(TEXT(I17/G17,""0.0%""),"""")","=IFERROR(TEXT(K17/J17,""0.0%""),"""")","=IFERROR(TEXT(L17/D17,""0.00%""),"""")","=IFERROR(TEXT(B17/L17,""0.0""),"""")"
""
■ 使い方
B列〜K列（投稿数〜採用数(その他経由)）に毎月の数字を入れるだけ。L列から右は自動計算なので触らない。
数字が入っていない月は空欄のまま（エラー表示は出ません）。
""
■ 指標の意味
採用数 合計,採用数(LINE経由) ＋ 採用数(その他経由)
1投稿あたりインプ,インプレッション ÷ 投稿数。投稿1本の平均パワー
リーチ率,リーチ数 ÷ インプレッション。低いと同じ人に何度も表示されている
プロフアクセス率,プロフアクセス数 ÷ リーチ数。投稿→プロフの興味喚起力
リンクタップ率,リンクタップ数 ÷ プロフアクセス数。プロフ文とハイライトの出来
LINE登録率,LINE登録 ÷ リンクタップ数。LP・登録導線の出来
面接率,面接 ÷ LINE登録。LINE内トークの出来
採用率,採用数(LINE経由) ÷ 面接。面接の見極め・訴求力
LINE→採用率,採用数(LINE経由) ÷ LINE登録。LINE1件あたりの価値
その他採用率,採用数(その他経由) ÷ その他問い合わせ
リーチ→採用率,採用数 合計 ÷ リーチ数。全体の最終CVR
1採用あたり投稿数,投稿数 ÷ 採用数 合計。1人採るのに必要な投稿本数
""
16行目：合計（率は合計値どうしを割り直した通期の率）
17行目：平均（実数は月平均、率は月平均の数字で割り直した率）
